location,wind,solar,battery,operational_emissions_total_g,embodied_emissions_initial_g,embodied_emissions_g,coverage_pct,total_battery_discharge_kwh,total_excess_renewable_kwh,total_grid_draw_kwh
berkeley,6000,40000,0,1496508189.2398582,18574000000,1244886509.5895367,52.319828247782,0.0,59036563.59837153,7213962.449429447
berkeley,18000,16000,30000,194466361.3439234,15094000000,2838200381.094245,95.42795636052404,6485910.481593724,22114082.59056875,691745.6443683647
berkeley,3000,16000,0,1694373401.4984605,7639000000,502749618.7225715,46.28050427484218,0.0,20178287.73573617,8127706.145386252
berkeley,15000,4000,30000,1250252739.9461787,9103000000,2455851140.256166,63.528836771127274,2745322.807860388,6266032.192517303,5518050.635122991
berkeley,3000,12000,45000,332287713.9835402,9321000000,3712925938.3403745,91.90714852277246,7410171.708560321,6696160.134871714,1224440.3600079997
berkeley,18000,24000,0,1395234806.5202184,16170000000,857847397.0218844,55.66962187385749,0.0,40991621.306469694,6707142.013516849
berkeley,9000,40000,0,1446883255.925469,19621000000,1268027014.3471818,53.90541754075453,0.0,60725040.91563276,6974064.370220259
berkeley,15000,28000,0,1407804041.1961064,16771000000,954793403.7726688,55.21373926218658,0.0,45460644.18746903,6776116.598151998
berkeley,24000,4000,0,1639284255.6596768,10024000000,304715700.4786031,49.27555770498324,0.0,14258731.98776413,7674557.547445905
berkeley,3000,8000,45000,920307739.22756,7673000000,3593102024.1500435,76.66048947730597,5364775.347732622,2794344.294531635,3531244.6728119403
berkeley,24000,8000,0,1495767604.3924313,11672000000,424540051.1100999,53.099223957553846,0.0,19986759.865988128,7096040.655591131
berkeley,3000,8000,0,1823479834.890282,4343000000,263102024.15004352,42.60552026256048,0.0,8121277.8595790705,8683727.562520104
berkeley,24000,40000,0,1304319035.680786,24856000000,1383127712.4131021,58.52788894433629,0.0,69617390.4396579,6274689.055418693
berkeley,0,36000,0,1766894421.343657,14832000000,1078415891.733847,44.17551402207962,0.0,50075019.914916486,8446189.071973816
berkeley,27000,8000,0,1474877530.7619889,12719000000,447616142.9401797,53.78984553945136,0.0,21805277.161696892,6991550.298793235
berkeley,18000,36000,0,1356637462.8482518,21114000000,1217317289.3261135,56.82662360205224,0.0,59736036.11452569,6532088.805560783
berkeley,12000,4000,37500,1298482029.0267239,8611000000,2987732935.5208383,61.70637058516497,2690075.3609414776,4617311.346814129,5793787.952077504
berkeley,6000,24000,15000,838524880.126818,13092000000,1875593458.7867022,79.08467336737853,4479695.398966674,29593603.543485526,3164468.0671324152
berkeley,21000,4000,0,1665801531.9514601,8977000000,282125550.62242496,48.401386739201676,0.0,12508480.695331827,7806818.7430284545
berkeley,6000,16000,0,1606595188.3461561,8686000000,525946442.8590623,49.04144811957877,0.0,21693628.36270338,7709978.094312555
berkeley,12000,20000,0,1478612279.885943,12428000000,692028436.542123,53.02484658636417,0.0,31252316.905989967,7107293.877698591
berkeley,15000,4000,0,1736043869.2820628,6883000000,235851140.25616598,46.121124271456296,0.0,8997281.269446632,8151820.180998177
berkeley,3000,40000,0,1577134390.329539,17527000000,1221689685.4530458,49.780791632416346,0.0,57487648.62883991,7598116.157938734
berkeley,15000,0,0,2612473901.1474915,5235000000,116024101.95821254,23.87474974822358,0.0,6056449.32917827,11517674.466937892
berkeley,12000,24000,30000,162717907.26209995,16296000000,3031851896.6525025,96.24866934406961,6718088.216782361,30760723.15467437,567572.5882010167
berkeley,21000,8000,37500,454921103.13965845,13400000000,3176949901.2539215,88.79813724153432,5749188.671919197,12490799.744654704,1694830.6672044327
berkeley,3000,36000,0,1588517704.3623028,15879000000,1101866526.95444,49.42693100005652,0.0,51234705.36347784,7651654.918819064
berkeley,0,32000,45000,132288212.60731962,16514000000,4288592647.775461,96.89636683984088,8381260.626152151,35497589.96670788,469576.60283911065
berkeley,27000,4000,0,1615518443.011316,11071000000,327791792.308683,50.0548966809326,0.0,16063826.430203252,7556644.33737837
berkeley,3000,8000,22500,1004825650.8285048,6008000000,1928102024.1500435,74.4377263265053,5013521.2063757535,3129483.6994774323,3867546.5214542034
berkeley,27000,0,0,2395479156.56336,9423000000,207964754.01072955,30.57562875174803,0.0,12704334.021034563,10503838.154417753
berkeley,24000,12000,0,1433987484.6520848,13320000000,544363965.3004309,54.78911640698605,0.0,26037602.62268696,6840361.612798858
berkeley,3000,12000,0,1742910104.0859,5991000000,382925938.3403745,44.8913972000653,0.0,14081948.757423416,8337876.660873354
berkeley,24000,0,0,2438290168.4767056,8376000000,184888662.1806497,29.2536896372928,0.0,10981334.438584156,10703846.224474013
berkeley,12000,40000,0,1407242294.966231,20668000000,1291144947.455337,55.170990103055814,0.0,62460055.4744001,6782584.503307974
berkeley,12000,28000,0,1441769331.371278,15724000000,931675199.0373411,54.11498804874215,0.0,43700367.08934127,6942356.56130155
berkeley,3000,32000,0,1601513801.896709,14231000000,982043282.9960544,49.026842033699005,0.0,44988751.90107724,7712187.980544035
berkeley,21000,8000,45000,406081438.5889813,13955000000,3731949901.2539215,89.96983735705459,5934342.0804124735,12306208.23867806,1517553.607900171
berkeley,12000,32000,0,1428329593.2927163,17372000000,1051498544.9983459,54.520421753149684,0.0,49945517.26676242,6881014.846038266
berkeley,6000,0,0,2897576396.067448,2094000000,46647459.35708418,15.079288865537045,0.0,1605806.9083099142,12848418.929496896
berkeley,21000,8000,0,1518735420.941838,10625000000,401949901.2539217,52.337533708704896,0.0,18219490.35322614,7211283.63084399
berkeley,12000,24000,0,1457803864.5159893,14076000000,811851896.6525027,53.63654651837743,0.0,37466265.21668175,7014744.287844045
berkeley,15000,0,45000,2232607172.204406,8565000000,3446024101.9582124,34.682263159178696,1704978.4917978456,4360831.526560593,9882508.462849231
berkeley,6000,20000,0,1574160909.3070683,10334000000,645769998.6763223,49.978142718101495,0.0,27858410.341573093,7568257.135431739
berkeley,18000,32000,0,1367303324.5595741,19466000000,1097494045.3677278,56.501511930356216,0.0,53478738.662194446,6581277.877355125
berkeley,6000,24000,0,1551434858.6389322,11982000000,765593458.786702,50.64647463579457,0.0,34063790.28929304,7467139.1826053895
berkeley,12000,4000,0,1781796522.9187374,5836000000,212732935.52083817,44.647767927003514,0.0,7293681.554162649,8374737.526991516
berkeley,3000,20000,0,1659888581.0092728,9287000000,622573174.5398315,47.28344704685246,0.0,26333046.432006005,7975961.903905572
berkeley,9000,12000,0,1595737576.5017314,8085000000,429263267.2345105,49.54536674647441,0.0,17239251.879526757,7633735.708465359
berkeley,15000,12000,0,1513298577.0198665,10179000000,475499405.07799375,52.18671013452496,0.0,20692630.745266076,7234103.087247734
berkeley,3000,12000,22500,742437323.9201047,7656000000,2047925938.3403745,82.18599490289506,5873729.696052998,8225887.232263525,2695241.2107970603
berkeley,15000,20000,15000,756832200.0608227,14585000000,1825146641.2774506,81.2004904631112,4261756.287194487,28754766.237507477,2844347.0499977353
berkeley,9000,24000,0,1499384958.4072773,13029000000,788733963.5443472,52.30695375354,0.0,35740936.8507306,7215910.347572513
berkeley,9000,4000,0,1837449649.3726096,4789000000,189615002.4126827,42.870962824534885,0.0,5636015.969028627,8643566.367537105
berkeley,18000,8000,0,1547337144.8584554,9578000000,378552786.52171683,51.404512085146,0.0,16410896.03363976,7352448.872274701
berkeley,6000,36000,0,1507201386.5335314,16926000000,1125063351.0909312,51.986648455953684,0.0,52780491.342455655,7264372.2197559625
berkeley,9000,24000,7500,1124793719.8259003,13584000000,1343733963.5443473,68.09539556091659,2487746.347129436,33259510.091841437,4827134.843043874
berkeley,18000,12000,0,1482762709.8171828,11226000000,498376700.7120478,53.18231725848263,0.0,22448437.682860013,7083468.722003844
berkeley,30000,24000,0,1315855484.1193528,20358000000,949756135.487774,58.2963374701329,0.0,48253263.39438802,6309722.562611033
berkeley,27000,28000,0,1317242712.3508728,20959000000,1046734055.8251859,58.19159634334853,0.0,52671818.38436105,6325569.790667593
berkeley,0,24000,45000,184013019.2532959,13218000000,4048945999.429618,95.70526289097666,8375171.974478281,23064989.43171983,649789.4427828783
berkeley,30000,4000,0,1595168796.3214931,12118000000,350637174.3561095,50.72995647803364,0.0,17865472.393215634,7454508.463105226
berkeley,30000,20000,0,1334144421.3221471,18710000000,829932675.3773943,57.767933295898985,0.0,42026712.51858931,6389669.587358649
berkeley,21000,36000,0,1332483573.2935576,22161000000,1240714404.0583184,57.61662290498016,0.0,61566269.5686316,6412562.6986496365
berkeley,0,24000,37500,228674039.85865426,12663000000,3493945999.429618,94.72958708981268,8220595.909830326,23219354.035935726,797408.2187594221
berkeley,21000,16000,0,1416853378.923489,13921000000,641597495.8264496,55.150004434673995,0.0,30406997.629684746,6785759.614011629
berkeley,0,16000,30000,459366121.9688313,8812000000,2699298983.501978,89.18448757197942,7646352.185333775,11470465.733576523,1636376.247395721
berkeley,21000,32000,37500,51846174.92028046,23288000000,3895891160.0999327,98.7795788066762,6543693.884087536,48777239.081655495,184648.5098014811
berkeley,30000,4000,45000,860974682.558131,15448000000,3680637174.3561096,75.45762076784835,3902403.1832901374,13984626.738667041,3713237.509304129
berkeley,9000,28000,0,1482738821.9847555,14677000000,908557265.9291856,52.80538615603136,0.0,41972014.12436808,7140498.022007969
berkeley,6000,36000,22500,428863791.5736285,18591000000,2790063351.090931,90.19664572983051,6019777.268076589,46773184.472794436,1483237.7272249802
berkeley,18000,16000,0,1443003222.4525173,12874000000,618200381.0942447,54.29386531320981,0.0,28586771.064182557,6915292.609526539
berkeley,9000,0,30000,2540022218.2512593,5361000000,2289787964.1147294,25.518027730943427,1094085.3949953406,1916186.1245954467,11269048.146485016
berkeley,9000,20000,0,1521052244.0412238,11381000000,668910503.4339675,51.66958227250926,0.0,29530872.619810883,7312344.017199113
berkeley,18000,4000,0,1698654002.8640933,7930000000,258728435.89022005,47.33556423530957,0.0,10719979.01653865,7968076.625252357
berkeley,3000,12000,7500,1370085688.7588708,6546000000,937925938.3403745,60.98098151183975,2533666.9785320624,11560586.069027996,5903538.595665552
berkeley,15000,20000,0,1443557867.700404,13475000000,715146641.2774507,54.15894483282956,0.0,33007246.033262324,6935705.943693625
berkeley,3000,20000,37500,176479276.7872515,12062000000,3397573174.5398316,95.86262053900279,7657784.548495141,18696089.80022652,625981.3875206121
berkeley,15000,16000,0,1472457328.5908756,11827000000,595323085.4601907,53.332598866171196,0.0,26825768.416408096,7060731.264589907
berkeley,9000,8000,0,1667475464.0525026,6437000000,309439353.0441795,47.543933169912464,0.0,11235544.984759092,7936550.613188798
berkeley,21000,32000,45000,26231577.64833553,23843000000,4450891160.099933,99.34508061970921,6633520.041539988,48687680.935823895,99088.64928955749
berkeley,0,4000,0,2253911119.8644013,1648000000,119827038.29795343,30.136217027511957,0.0,1747106.6354694092,10570320.71020533
berkeley,30000,4000,22500,1017212686.3877501,13783000000,2015637174.3561096,71.25410445044857,3238740.0562768737,14645025.070110084,4349225.337260631
berkeley,0,4000,30000,1981133438.7275329,3868000000,2339827038.2979536,40.308646512559434,1602149.5856347724,182567.55802254073,9031242.270933816
berkeley,21000,12000,0,1455720999.3277488,12273000000,521773815.4442527,54.06727215383073,0.0,24264304.450502604,6949575.928629353
berkeley,0,16000,0,1885527992.3740454,6592000000,479298983.50197816,40.64353984657566,0.0,19076935.23201645,8980573.243382655
berkeley,30000,16000,0,1360245989.4342167,17062000000,710109119.5601343,57.03315256446686,0.0,35831381.17293503,6500841.179454877
